year,Education Funds per Student (RMB),Government Appropriation,Funds from Runners of Private Schools,Donations and Fund-raising for Running Schools,Income from Teaching Research and Other Auxiliary Activity,Other Educational Funds
1995,820.1550824,14115233,203672,1628414,0,0
2000,1565.080448,25626056,858537,1139557,9382717,1483939
2001,1900.112917,30570100,1280895,1128852,11575137,1821643
2002,2219.03003,34914048,1725549,1272791,14609169,2278722
2003,2508.288675,38506237,2590148,1045927,17218399,2721943
2004,2912.955951,44658575,3478529,934204,20114268,3240414
2005,3385.778213,51610759,4522185,931613,23399991,3723842
2006,3920.963492,63483648,5490583,899078,24073042,4206736
2007,4842.722522,82802142,809337,930584,31772357,5166242
2008,5796.214425,104496296,698479,1026663,33670711,5115225
2009,6604.72841,122310935,749829,1254991,35275939,5435371
2010,7782.464493,146700670,1054254,1078839,41060664,5724045
2011,9388.045561,185867009,1119320,1118675,44246927,6341005
2012,11391.99297,231475698,1281753,956919,46198404,6640278
2013,12363.93769,244882177,1474089,855445,49262087,7173384
2014,13320.04064,264205820,1313476,796700,54271581,7477031
2015,14469.27171,292214511,1876620,869960,58097239,8233597
