year,Average,Higher Education,High School,Middle School,Elementary School,Pre-Education,Vocational Education,Special Education
1980,23.62,4.63,16.98,18.58,26.6,28,44.08,6.6
1985,21.81,4.95,15.06,18.57,24.87,26.9,13.41,6
1990,18.94,5.22,12.76,15.67,21.93,26.3,11.52,5.14
1995,20.67,7.25,12.94,16.76,23.3,30.99,16.62,11.84
2000,20.41,12.01,15.87,19.03,22.21,26.22,16.12,11.81
2001,20.56,13.52,16.73,19.24,21.63,37.03,15.78,13.31
2002,20.4,14.62,17.8,19.28,21.04,35.66,17.23,12.5
2003,20.04,15.29,18.35,19.13,20.5,32.69,17.63,12.17
2004,19.73,15.54,18.64,18.64,19.98,31.85,19.15,12
2005,19.34,16.17,18.53,17.8,19.42,30.18,21.33,11.38
2006,19.06,16.16,18.13,17.15,19.17,29.17,22.65,11
2007,18.7,16.14,17.48,16.52,18.82,28.4,23.13,11.97
2008,18.34,16.32,16.78,16.07,18.38,27.53,23.32,11.58
2009,18.07,16.56,16.3,15.47,17.88,26.96,25.31,11.26
2010,17.88,16.62,15.99,14.98,17.7,26.02,25.69,10.65
2011,17.76,16.57,15.77,14.37,17.71,26.02,25.02,9.73
2012,17.31,16.61,15.47,13.59,17.36,24.92,24.01,8.61
2013,16.63,16.49,14.95,12.76,16.76,23.42,22.15,8
2014,16.34,16.6,14.43,12.57,16.78,21.97,20.46,8.23
2015,16.24,16.69,14.01,12.41,17.05,20.79,19.63,8.84
2016,16.12,16.83,13.66,12.41,17.12,19.78,19.04,9.28
